@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Discretize-F-B8-M-1.0-Rfirst-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B11-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-F-B30-M-1.0-Rlast-weka.filters.unsupervised.attribute.Discretize-B30-M-1.0-Rlast

@attribute hour {'\'(-inf-2.5]\'','\'(2.5-5.5]\'','\'(5.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-14.5]\'','\'(14.5-17.5]\'','\'(17.5-20.5]\'','\'(20.5-inf)\''}
@attribute amps_avg {'\'(-inf-0.1281]\'','\'(0.1281-0.209533]\'','\'(0.209533-0.290967]\'','\'(0.290967-0.3724]\'','\'(0.3724-inf)\''}
@attribute kw_avg numeric

@data
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.273333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',37.03
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.053333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',25.491667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.615
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.346667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',41.055
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',38.64
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.81
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',17.441667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.418333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.711667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.858333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',33.273333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.98
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',31.663333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',34.078333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',35.151667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.321667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',28.443333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',25.76
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.881667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',23.613333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',24.418333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',29.248333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.638333
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',21.735
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.101667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',39.713333
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',41.591667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',41.86
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',25.491667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',19.856667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',22.271667
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',20.661667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',29.516667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',32.736667
'\'(2.5-5.5]\'','\'(0.1281-0.209533]\'',30.59
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',27.37
'\'(2.5-5.5]\'','\'(-inf-0.1281]\'',26.296667
