@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2

@attribute hour numeric
@attribute amps_avg numeric
@attribute kw_avg numeric

@data
16,0.137667,31.663333
16,0.131833,30.321667
16,0.1225,28.175
16,0.112,25.76
16,0.092167,21.198333
16,0.110833,25.491667
16,0.128333,29.516667
16,0.127167,29.248333
16,0.138833,31.931667
16,0.133,30.59
16,0.156333,35.956667
16,0.155167,35.688333
16,0.112,25.76
16,0.093333,21.466667
16,0.0735,16.905
16,0.07,16.1
16,0.14,32.2
16,0.152833,35.151667
16,0.151667,34.883333
16,0.152833,35.151667
16,0.096833,22.271667
16,0.119,27.37
16,0.114333,26.296667
16,0.124833,28.711667
16,0.107333,24.686667
16,0.1575,36.225
16,0.145833,33.541667
16,0.147,33.81
16,0.133,30.59
16,0.128333,29.516667
16,0.110833,25.491667
16,0.114333,26.296667
16,0.135333,31.126667
16,0.133,30.59
16,0.1365,31.395
16,0.1435,33.005
16,0.163333,37.566667
16,0.1435,33.005
16,0.1435,33.005
16,0.098,22.54
16,0.079333,18.246667
16,0.138833,31.931667
16,0.165667,38.103333
16,0.186667,42.933333
16,0.176167,40.518333
16,0.128333,29.516667
16,0.114333,26.296667
16,0.1085,24.955
17,0.096833,22.271667
17,0.14,32.2
17,0.151667,34.883333
17,0.163333,37.566667
17,0.183167,42.128333
17,0.152833,35.151667
17,0.105,24.15
17,0.091,20.93
17,0.124833,28.711667
17,0.121333,27.906667
17,0.1645,37.835
17,0.156333,35.956667
17,0.14,32.2
17,0.151667,34.883333
17,0.1225,28.175
17,0.102667,23.613333
17,0.102667,23.613333
17,0.107333,24.686667
17,0.14,32.2
17,0.145833,33.541667
17,0.145833,33.541667
17,0.148167,34.078333
17,0.106167,24.418333
17,0.126,28.98
17,0.116667,26.833333
17,0.107333,24.686667
17,0.134167,30.858333
17,0.158667,36.493333
17,0.159833,36.761667
17,0.159833,36.761667
17,0.117833,27.101667
17,0.099167,22.808333
17,0.100333,23.076667
17,0.119,27.37
17,0.141167,32.468333
17,0.176167,40.518333
17,0.130667,30.053333
17,0.147,33.81
17,0.138833,31.931667
17,0.100333,23.076667
17,0.116667,26.833333
17,0.137667,31.663333
17,0.130667,30.053333
17,0.182,41.86
17,0.176167,40.518333
17,0.1575,36.225
17,0.145833,33.541667
17,0.124833,28.711667
17,0.124833,28.711667
17,0.203,46.69
17,0.340667,78.353333
17,0.319667,73.523333
17,0.329,75.67
17,0.232167,53.398333
17,0.177333,40.786667
17,0.147,33.81
17,0.102667,23.613333
17,0.095667,22.003333
17,0.091,20.93
17,0.120167,27.638333
18,0.180833,41.591667
18,0.187833,43.201667
18,0.200667,46.153333
18,0.215833,49.641667
18,0.163333,37.566667
18,0.102667,23.613333
18,0.219333,50.446667
18,0.098,22.54
18,0.156333,35.956667
18,0.1785,41.055
18,0.177333,40.786667
