hour;minute;amps_avg;kw_avg
9;56;0.183167;42.128333
9;57;0.116667;26.833333
9;58;0.109667;25.223333
9;59;0.1155;26.565
10;0;0.124833;28.711667
10;1;0.128333;29.516667
10;2;0.1435;33.005
10;3;0.123667;28.443333
10;4;0.112;25.76
10;5;0.120167;27.638333
10;6;0.0945;21.735
10;7;0.169167;38.908333
10;8;0.135333;31.126667
10;9;0.1365;31.395
10;10;0.154;35.42
10;11;0.137667;31.663333
10;12;0.116667;26.833333
10;13;0.1155;26.565
10;14;0.123667;28.443333
10;15;0.124833;28.711667
10;16;0.117833;27.101667
10;17;0.119;27.37
10;18;0.134167;30.858333
10;19;0.110833;25.491667
10;20;0.128333;29.516667
10;21;0.159833;36.761667
10;22;0.173833;39.981667
10;23;0.144667;33.273333
10;24;0.1225;28.175
10;25;0.112;25.76
10;26;0.102667;23.613333
10;27;0.119;27.37
10;28;0.145833;33.541667
10;29;0.137667;31.663333
10;30;0.14;32.2
10;31;0.128333;29.516667
10;32;0.085167;19.588333
10;33;0.0875;20.125
10;34;0.130667;30.053333
10;35;0.137667;31.663333
10;36;0.187833;43.201667
10;37;0.162167;37.298333
10;38;0.147;33.81
10;39;0.130667;30.053333
10;40;0.077;17.71
10;41;0.0665;15.295
10;42;0.089833;20.661667
10;43;0.114333;26.296667
10;44;0.141167;32.468333
10;45;0.154;35.42
10;46;0.130667;30.053333
10;47;0.14;32.2
10;48;0.1365;31.395
10;49;0.127167;29.248333
10;50;0.130667;30.053333
10;51;0.119;27.37
10;52;0.14;32.2
10;53;0.149333;34.346667
10;54;0.158667;36.493333
10;55;0.162167;37.298333
10;56;0.1715;39.445
10;57;0.119;27.37
10;58;0.1155;26.565
10;59;0.110833;25.491667
11;0;0.098;22.54
11;1;0.1715;39.445
11;2;0.190167;43.738333
11;3;0.200667;46.153333
11;4;0.165667;38.103333
11;5;0.14;32.2
11;6;0.100333;23.076667
11;7;0.1015;23.345
11;8;0.119;27.37
11;9;0.121333;27.906667
11;10;0.158667;36.493333
11;11;0.165667;38.103333
11;12;0.154;35.42
11;13;0.152833;35.151667
11;14;0.124833;28.711667
11;15;0.100333;23.076667
11;16;0.095667;22.003333
11;17;0.075833;17.441667
11;18;0.105;24.15
11;19;0.134167;30.858333
11;20;0.138833;31.931667
11;21;0.145833;33.541667
11;22;0.114333;26.296667
11;23;0.123667;28.443333
11;24;0.1155;26.565
11;25;0.100333;23.076667
11;26;0.107333;24.686667
11;27;0.142333;32.736667
11;28;0.14;32.2
11;29;0.165667;38.103333
11;30;0.135333;31.126667
11;31;0.106167;24.418333
11;32;0.092167;21.198333
11;33;0.0735;16.905
11;34;0.063;14.49
11;35;0.092167;21.198333
11;36;0.130667;30.053333
11;37;0.148167;34.078333
11;38;0.1645;37.835
11;39;0.173833;39.981667
11;40;0.152833;35.151667
11;41;0.134167;30.858333
11;42;0.1155;26.565
11;43;0.089833;20.661667
11;44;0.123667;28.443333
11;45;0.116667;26.833333
11;46;0.117833;27.101667
11;47;0.112;25.76
11;48;0.0805;18.515
11;49;0.106167;24.418333
11;50;0.095667;22.003333
11;51;0.091;20.93
11;52;0.116667;26.833333
11;53;0.183167;42.128333
11;54;0.1715;39.445
11;55;0.175;40.25
11;56;0.145833;33.541667
11;57;0.123667;28.443333
11;58;0.121333;27.906667
11;59;0.102667;23.613333
12;0;0.112;25.76
12;1;0.112;25.76
12;2;0.103833;23.881667
12;3;0.114333;26.296667
12;4;0.14;32.2
12;5;0.121333;27.906667
12;6;0.144667;33.273333
12;7;0.148167;34.078333
12;8;0.131833;30.321667
12;9;0.151667;34.883333
12;10;0.182;41.86
12;11;0.158667;36.493333
12;12;0.158667;36.493333
12;13;0.133;30.59
12;14;0.075833;17.441667
12;15;0.071167;16.368333
12;16;0.0595;13.685
12;17;0.071167;16.368333
12;18;0.123667;28.443333
12;19;0.141167;32.468333
12;20;0.1505;34.615
12;21;0.156333;35.956667
12;22;0.120167;27.638333
12;23;0.0875;20.125
12;24;0.100333;23.076667
12;25;0.128333;29.516667
12;26;0.159833;36.761667
12;27;0.184333;42.396667
12;28;0.170333;39.176667
12;29;0.142333;32.736667
12;30;0.112;25.76
12;31;0.086333;19.856667
12;32;0.086333;19.856667
12;33;0.096833;22.271667
12;34;0.1295;29.785
12;35;0.155167;35.688333
12;36;0.175;40.25
12;37;0.166833;38.371667
12;38;0.148167;34.078333
12;39;0.114333;26.296667
12;40;0.128333;29.516667
12;41;0.082833;19.051667
12;42;0.089833;20.661667
12;43;0.126;28.98
12;44;0.159833;36.761667
12;45;0.152833;35.151667
12;46;0.151667;34.883333
12;47;0.126;28.98
12;48;0.075833;17.441667
12;49;0.092167;21.198333
12;50;0.106167;24.418333
12;51;0.119;27.37
12;52;0.128333;29.516667
12;53;0.147;33.81
12;54;0.148167;34.078333
12;55;0.134167;30.858333
12;56;0.114333;26.296667
12;57;0.0875;20.125
12;58;0.107333;24.686667
12;59;0.119;27.37
13;0;0.103833;23.881667
13;1;0.151667;34.883333
13;2;0.124833;28.711667
13;3;0.156333;35.956667
13;4;0.169167;38.908333
13;5;0.155167;35.688333
13;6;0.112;25.76
13;7;0.099167;22.808333
13;8;0.078167;17.978333
13;9;0.0945;21.735
13;10;0.126;28.98
13;11;0.1715;39.445
13;12;0.159833;36.761667
13;13;0.123667;28.443333
13;14;0.103833;23.881667
13;15;0.060667;13.953333
13;16;0.067667;15.563333
13;17;0.0945;21.735
13;18;0.172667;39.713333
13;19;0.1995;45.885
13;20;0.180833;41.591667
13;21;0.106167;24.418333
13;22;0.079333;18.246667
13;23;0.088667;20.393333
13;24;0.078167;17.978333
13;25;0.089833;20.661667
13;26;0.127167;29.248333
13;27;0.141167;32.468333
13;28;0.1295;29.785
13;29;0.127167;29.248333
13;30;0.089833;20.661667
13;31;0.091;20.93
13;32;0.096833;22.271667
13;33;0.1505;34.615
13;34;0.176167;40.518333
13;35;0.172667;39.713333
13;36;0.135333;31.126667
13;37;0.128333;29.516667
13;38;0.1085;24.955
13;39;0.0945;21.735
13;40;0.1155;26.565
13;41;0.099167;22.808333
13;42;0.0805;18.515
13;43;0.114333;26.296667
13;44;0.126;28.98
13;45;0.126;28.98
13;46;0.1155;26.565
13;47;0.109667;25.223333
13;48;0.141167;32.468333
13;49;0.14;32.2
13;50;0.162167;37.298333
13;51;0.142333;32.736667
13;52;0.152833;35.151667
13;53;0.147;33.81
13;54;0.124833;28.711667
13;55;0.091;20.93
13;56;0.092167;21.198333
13;57;0.127167;29.248333
13;58;0.127167;29.248333
13;59;0.1575;36.225
14;0;0.141167;32.468333
14;1;0.1295;29.785
14;2;0.134167;30.858333
14;3;0.1225;28.175
14;4;0.161;37.03
14;5;0.1715;39.445
14;6;0.1715;39.445
14;7;0.121333;27.906667
14;8;0.161;37.03
14;9;0.135333;31.126667
14;10;0.148167;34.078333
14;11;0.102667;23.613333
14;12;0.095667;22.003333
14;13;0.103833;23.881667
14;14;0.099167;22.808333
14;15;0.109667;25.223333
14;16;0.1435;33.005
14;17;0.159833;36.761667
14;18;0.149333;34.346667
14;19;0.133;30.59
14;20;0.100333;23.076667
14;21;0.117833;27.101667
14;22;0.137667;31.663333
14;23;0.130667;30.053333
14;24;0.113167;26.028333
14;25;0.1505;34.615
14;26;0.126;28.98
14;27;0.107333;24.686667
14;28;0.095667;22.003333
14;29;0.088667;20.393333
14;30;0.100333;23.076667
14;31;0.109667;25.223333
14;32;0.098;22.54
14;33;0.116667;26.833333
14;34;0.130667;30.053333
14;35;0.144667;33.273333
14;36;0.177333;40.786667
14;37;0.137667;31.663333
14;38;0.121333;27.906667
14;39;0.074667;17.173333
14;40;0.072333;16.636667
14;41;0.088667;20.393333
14;42;0.147;33.81
14;43;0.194833;44.811667
14;44;0.182;41.86
14;45;0.155167;35.688333
14;46;0.098;22.54
14;47;0.078167;17.978333
14;48;0.086333;19.856667
14;49;0.105;24.15
14;50;0.138833;31.931667
14;51;0.159833;36.761667
14;52;0.1785;41.055
14;53;0.162167;37.298333
14;54;0.1015;23.345
14;55;0.086333;19.856667
14;56;0.086333;19.856667
14;57;0.098;22.54
14;58;0.133;30.59
